squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
Atalanta,30.0,54.2,32.0,352.0,2880.0,72.0,52.0,5.0,5.0,58.0,1.0,2.25,1.62,3.87,2.09,3.72,62.6,58.9,45.6,1.96,1.43,3.38,1.84,3.27
Benevento,26.0,41.3,32.0,352.0,2880.0,35.0,22.0,4.0,6.0,82.0,4.0,1.09,0.69,1.78,0.97,1.66,33.9,29.2,21.4,1.06,0.67,1.73,0.91,1.58
Bologna,33.0,50.2,32.0,352.0,2880.0,42.0,33.0,2.0,3.0,73.0,3.0,1.31,1.03,2.34,1.25,2.28,43.2,41.1,30.4,1.35,0.95,2.3,1.28,2.23
Cagliari,32.0,44.8,32.0,352.0,2880.0,36.0,23.0,4.0,5.0,65.0,3.0,1.13,0.72,1.84,1.0,1.72,38.5,34.8,25.2,1.2,0.79,1.99,1.09,1.88
Crotone,29.0,47.1,32.0,352.0,2880.0,37.0,22.0,8.0,8.0,79.0,3.0,1.16,0.69,1.84,0.91,1.59,31.9,25.9,20.0,1.0,0.62,1.62,0.81,1.44
Fiorentina,30.0,47.7,32.0,352.0,2880.0,38.0,27.0,4.0,4.0,68.0,4.0,1.19,0.84,2.03,1.06,1.91,38.9,35.9,26.4,1.22,0.82,2.04,1.12,1.95
Genoa,33.0,45.4,32.0,352.0,2880.0,35.0,26.0,1.0,1.0,72.0,1.0,1.09,0.81,1.91,1.06,1.87,28.5,27.8,20.1,0.89,0.63,1.52,0.87,1.5
Hellas Verona,30.0,49.3,32.0,352.0,2880.0,33.0,25.0,3.0,3.0,71.0,1.0,1.03,0.78,1.81,0.94,1.72,36.5,34.3,26.0,1.14,0.81,1.96,1.07,1.88
Inter,23.0,52.2,32.0,352.0,2880.0,67.0,50.0,5.0,6.0,53.0,1.0,2.09,1.56,3.66,1.94,3.5,62.9,58.3,46.4,1.97,1.45,3.42,1.82,3.27
Juventus,28.0,58.2,32.0,352.0,2880.0,63.0,51.0,6.0,7.0,68.0,5.0,1.97,1.59,3.56,1.78,3.38,62.5,57.4,44.8,1.95,1.4,3.35,1.79,3.19
Lazio,27.0,52.8,31.0,341.0,2790.0,51.0,35.0,5.0,8.0,86.0,3.0,1.65,1.13,2.77,1.48,2.61,47.5,41.7,31.1,1.53,1.0,2.54,1.35,2.35
Milan,29.0,51.9,32.0,352.0,2880.0,58.0,38.0,12.0,16.0,73.0,4.0,1.81,1.19,3.0,1.44,2.62,58.4,46.7,35.6,1.82,1.11,2.94,1.46,2.57
Napoli,25.0,55.3,32.0,352.0,2880.0,69.0,48.0,7.0,7.0,67.0,3.0,2.16,1.5,3.66,1.94,3.44,53.7,48.5,35.7,1.68,1.12,2.8,1.52,2.63
Parma,39.0,47.7,32.0,352.0,2880.0,33.0,21.0,5.0,5.0,79.0,1.0,1.03,0.66,1.69,0.87,1.53,33.7,29.9,24.3,1.05,0.76,1.81,0.94,1.69
Roma,27.0,51.9,32.0,352.0,2880.0,55.0,42.0,7.0,7.0,78.0,3.0,1.72,1.31,3.03,1.5,2.81,59.5,54.3,42.1,1.86,1.32,3.17,1.7,3.01
Sampdoria,26.0,44.6,32.0,352.0,2880.0,43.0,32.0,4.0,5.0,77.0,3.0,1.34,1.0,2.34,1.22,2.22,37.1,33.4,24.6,1.16,0.77,1.93,1.04,1.81
Sassuolo,28.0,60.3,32.0,352.0,2880.0,51.0,31.0,10.0,10.0,70.0,2.0,1.59,0.97,2.56,1.28,2.25,48.8,41.2,30.3,1.52,0.95,2.47,1.29,2.24
Spezia,34.0,52.9,32.0,352.0,2880.0,42.0,29.0,3.0,4.0,88.0,5.0,1.31,0.91,2.22,1.22,2.12,36.7,33.7,23.7,1.15,0.74,1.89,1.05,1.79
Torino,28.0,47.4,31.0,341.0,2790.0,45.0,25.0,4.0,5.0,65.0,3.0,1.45,0.81,2.26,1.32,2.13,42.7,38.7,27.2,1.38,0.88,2.25,1.25,2.13
Udinese,30.0,45.9,32.0,352.0,2880.0,32.0,24.0,3.0,3.0,55.0,2.0,1.0,0.75,1.75,0.91,1.66,39.2,37.1,24.9,1.23,0.78,2.0,1.16,1.94
